age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
66.2,Self-emp-not-inc,Bachelors,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,31.0,United-States
66.2,Self-emp-not-inc,Bachelors,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,31.0,United-States
66.2,Self-emp-not-inc,Bachelors,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,31.0,United-States
66.2,Self-emp-not-inc,Bachelors,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,31.0,United-States
66.2,Self-emp-not-inc,Bachelors,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,31.0,United-States
49.8,Private,7th-8th,7.6,Divorced,Adm-clerical,Own-child,White,Female,0.0,3939.2,36.6,United-States
49.8,Private,7th-8th,7.6,Divorced,Adm-clerical,Own-child,White,Female,0.0,3939.2,36.6,United-States
49.8,Private,7th-8th,7.6,Divorced,Adm-clerical,Own-child,White,Female,0.0,3939.2,36.6,United-States
49.8,Private,7th-8th,7.6,Divorced,Adm-clerical,Own-child,White,Female,0.0,3939.2,36.6,United-States
49.8,Private,7th-8th,7.6,Divorced,Adm-clerical,Own-child,White,Female,0.0,3939.2,36.6,United-States
49.6,Self-emp-not-inc,Doctorate,14.8,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,76.0,United-States
49.6,Self-emp-not-inc,Doctorate,14.8,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,76.0,United-States
49.6,Self-emp-not-inc,Doctorate,14.8,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,76.0,United-States
49.6,Self-emp-not-inc,Doctorate,14.8,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,76.0,United-States
49.6,Self-emp-not-inc,Doctorate,14.8,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,76.0,United-States
50.4,Self-emp-not-inc,Bachelors,12.8,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,2995.8,39.0,United-States
